Rank,Name,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate
199.0,"University of California, Riverside",21017.0,23279.0,12344.0,21249.0,62677.0,106900.0,57.0
200.0,Manhattan College,3727.0,4242.0,30243.0,18177.0,60212.0,125700.0,75.0
201.0,University of South Carolina,26791.0,34731.0,19519.0,5792.0,47162.0,89900.0,72.0
202.0,Baylor University,14951.0,17059.0,34898.0,21350.0,60233.0,101400.0,39.0
203.0,Bryant University,3503.0,3751.0,37730.0,20675.0,59904.0,108600.0,73.0
204.0,University of Mary Washington,4800.0,4808.0,21227.0,5562.0,42716.0,98200.0,73.0
205.0,Virginia Military Institute,1722.0,1766.0,19905.0,14434.0,56288.0,120600.0,53.0
206.0,Clark University (MA),2476.0,3153.0,27004.0,24329.0,55010.0,101400.0,56.0
207.0,Clarkson University,3335.0,4233.0,30563.0,32540.0,66106.0,130100.0,66.0
208.0,Illinois Institute of Technology,3227.0,7164.0,22098.0,34485.0,63749.0,118500.0,54.0
209.0,Centre College,1443.0,1450.0,23237.0,26184.0,53910.0,88500.0,76.0
210.0,University of San Francisco,7495.0,11063.0,32210.0,27943.0,65980.0,109900.0,66.0
211.0,Iowa State University,32814.0,36158.0,14331.0,7882.0,34442.0,101300.0,89.0
212.0,Louisiana State University,27658.0,30861.0,18181.0,9304.0,46381.0,102900.0,74.0
213.0,Willamette University,2181.0,2498.0,28327.0,27489.0,62262.0,97700.0,89.0
214.0,Gustavus Adolphus College,2181.0,2263.0,20050.0,24333.0,55800.0,96800.0,68.0
215.0,Quinnipiac University,7704.0,10200.0,38695.0,22460.0,63770.0,97700.0,74.0
216.0,Butler University,4311.0,5145.0,36413.0,16348.0,56740.0,99300.0,65.0
217.0,"SUNY, College of Environmental Science and Forestry",1825.0,2213.0,17923.0,7628.0,36953.0,97000.0,52.0
218.0,University of Arizona,36862.0,43751.0,14744.0,11272.0,51707.0,101000.0,84.0
219.0,"University of Missouri, Columbia",27923.0,30844.0,18602.0,9316.0,43330.0,98600.0,78.0
220.0,The Citadel,3043.0,3717.0,17935.0,11281.0,50506.0,108100.0,81.0
221.0,University of Washington Bothell,5981.0,6175.0,9822.0,12946.0,51348.0,108000.0,80.0
222.0,Emerson College,4088.0,4459.0,43965.0,20323.0,65324.0,94300.0,46.0
223.0,"Colorado State University, Fort Collins",28404.0,33083.0,17058.0,8221.0,43437.0,96100.0,83.0
224.0,"University of Tennessee, Knoxville",23803.0,28321.0,19335.0,8903.0,49350.0,95100.0,77.0
225.0,Taylor University,2145.0,2831.0,24525.0,17726.0,45330.0,90600.0,87.0
226.0,Drexel University,17789.0,24190.0,37427.0,28767.0,68792.0,114800.0,79.0
227.0,Stonehill College,2498.0,2536.0,32911.0,22865.0,59560.0,103200.0,72.0
228.0,University of South Florida,37076.0,43540.0,11700.0,7937.0,32324.0,91300.0,45.0
229.0,St. Mary's College of Maryland,1598.0,1746.0,21025.0,8414.0,45130.0,95400.0,82.0
230.0,Bard College,2101.0,2293.0,26766.0,39096.0,70562.0,90600.0,58.0
231.0,Washington State University,27917.0,30614.0,16314.0,8572.0,41675.0,103700.0,73.0
232.0,Truman State University,6272.0,6289.0,12537.0,8778.0,27878.0,85800.0,67.0
233.0,Illinois Wesleyan University,1649.0,1791.0,26976.0,26421.0,58830.0,96000.0,61.0
234.0,"St. John's College, Annapolis",445.0,513.0,26808.0,33723.0,65409.0,,54.0
235.0,"SUNY, Geneseo",5652.0,5792.0,18879.0,6708.0,34740.0,93300.0,72.0
236.0,Westmont College,1300.0,1356.0,31039.0,26711.0,60930.0,102400.0,85.0
237.0,Cedarville University,3666.0,3886.0,21490.0,14155.0,39194.0,87300.0,71.0
238.0,University of the Pacific (CA),3639.0,6255.0,29171.0,26884.0,64796.0,109300.0,65.0
239.0,"University of Nebraska, Lincoln",22012.0,26079.0,17784.0,8538.0,40182.0,96700.0,64.0
240.0,"University of Texas, Dallas",18764.0,27642.0,14763.0,14321.0,45488.0,100900.0,76.0
241.0,Rollins College,2894.0,3278.0,30194.0,30057.0,67775.0,87000.0,64.0
242.0,University of Central Florida,65100.0,66059.0,15286.0,5757.0,38353.0,88600.0,50.0
243.0,Ithaca College,6488.0,6516.0,33848.0,25073.0,61339.0,98600.0,71.0
244.0,DePaul University,17838.0,22769.0,30502.0,20387.0,56275.0,102900.0,72.0
245.0,Missouri University of Science and Technology,7192.0,8883.0,14473.0,8975.0,38684.0,122600.0,84.0
246.0,University of New Hampshire,13688.0,15363.0,24529.0,12539.0,47570.0,100300.0,77.0
247.0,Hope College,3150.0,3281.0,26175.0,15907.0,45410.0,90900.0,74.0
248.0,Loyola University Chicago,12864.0,16673.0,33036.0,22016.0,59958.0,96000.0,71.0
249.0,Seton Hall University,6260.0,9801.0,27563.0,24710.0,57090.0,103800.0,73.0
250.0,College of Wooster,1980.0,2122.0,25442.0,30851.0,61900.0,91300.0,56.0
251.0,University of Scranton,3893.0,5373.0,35298.0,22094.0,61096.0,99700.0,75.0
252.0,University of Alabama,35625.0,38563.0,21973.0,16494.0,46744.0,97400.0,53.0
253.0,College of Saint Benedict,1937.0,2022.0,25020.0,28210.0,56880.0,88600.0,81.0
