,Rank,Name,City,State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website,lat,lon
252,253,College of Saint Benedict,St. Joseph,MN,Private,1937,2022,25020,28210,56880,88600,81,1010,1220,22,28,www.csbsju.edu,45.5645229,-94.3180516
253,254,Saint John's University (MN),Collegeville,MN,Private,1815,1816,23977,27780,55872,108400,80,970,1190,22,27,www.csbsju.edu/About/Saint-Johns-University.htm,45.5944117,-94.3622868
254,255,California Lutheran University,Thousand Oaks,CA,Private,3207,4236,25871,27282,59877,95000,73,1060,1230,21,27,www.callutheran.edu,34.1714271,-118.9105877
255,256,"Embry-Riddle Aeronautical University, Prescott",Prescott,AZ,Private,2543,2663,32898,15756,51036,117900,77,1130,1350,23,29,www.prescott.erau.edu,34.5399962,-112.4687616
256,257,Beloit College,Beloit,WI,Private,1402,1509,13972,30344,59442,85700,54,,,,,www.beloit.edu,42.5083272,-89.031784
257,258,Western Washington University,Bellingham,WA,Public,15915,16246,16220,6500,38067,99300,85,1080,1280,22,28,www.wwu.edu,48.7544012,-122.4788361
258,259,Rockhurst University,Kansas City,MO,Private,2176,3043,22901,26031,51631,92500,72,1050,1230,22,27,www.rockhurst.edu,39.100105,-94.5781416
259,260,University of Kansas,Lawrence,KS,Public,20894,27625,18814,9205,41074,98600,93,,,23,28,www.ku.edu,38.9719384,-95.2359496
260,261,Oregon State University,Corvallis,OR,Public,29777,30896,20493,8263,44706,104800,79,1070,1300,22,28,oregonstate.edu,44.5645659,-123.2620435
261,262,"University of Maryland, Baltimore County",Baltimore,MD,Public,12702,13662,20539,9402,41674,103600,60,1140,1360,24,29,www.umbc.edu,39.2908816,-76.610759
262,263,Point Loma Nazarene University,San Diego,CA,Private,3313,4417,31452,16687,49844,90100,76,1100,1290,23,28,www.pointloma.edu,32.7174202,-117.1627728
263,264,Wheaton College (MA),Norton,MA,Private,1688,1695,27875,31592,65818,97500,48,1150,1350,26,30,www.wheatoncollege.edu,41.9667666,-71.1869939
264,265,New School,New York,NY,Private,8911,10389,40819,19358,69475,101700,62,1100,1310,24,28,www.newschool.edu,40.7127281,-74.0060152
265,266,Calvin University,Grand Rapids,MI,Private,3840,4232,25596,18532,46790,91100,83,1100,1330,23,30,www.calvin.edu,42.9632405,-85.6678639
266,267,Christopher Newport University,Newport News,VA,Public,5001,5081,22351,5737,41876,87200,72,,,,,www.cnu.edu,37.1061414,-76.5008003
267,268,New Jersey Institute of Technology,Newark,NJ,Public,9366,11446,19409,13782,51518,121300,61,1190,1370,24,30,www.njit.edu,40.735657,-74.1723667
268,269,Juniata College,Huntingdon,PA,Private,1495,1638,24795,29639,58165,93100,71,,,,,www.juniata.edu,40.4847959,-78.0102813
269,270,College of the Ozarks,Point Lookout,MO,Private,1508,1773,8352,15362,29539,71100,13,1088,1235,21,26,www.cofo.edu,36.6161033,-93.2398425
270,271,University of Arkansas,Fayetteville,AR,Public,24344,27558,16069,6629,40162,98000,66,1110,1280,23,29,www.uark.edu,36.0625843,-94.1574328
