Rank,Name,City,Code,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website,lat,lon,State
222,Emerson College,Boston,MA,Private,4088,4459,43965.0,20323.0,65324,94300.0,46.0,1200.0,1360.0,26.0,30.0,www.emerson.edu,42.3602534,-71.0582912,Massachusetts
223,"Colorado State University, Fort Collins",Fort Collins,CO,Public,28404,33083,17058.0,8221.0,43437,96100.0,83.0,1100.0,1300.0,22.0,28.0,www.colostate.edu,40.5508527,-105.0668085,Colorado
224,"University of Tennessee, Knoxville",Knoxville,TN,Public,23803,28321,19335.0,8903.0,49350,95100.0,77.0,1140.0,1310.0,24.0,30.0,www.utk.edu,35.960394799999996,-83.92102609999999,Tennessee
225,Taylor University,Upland,IN,Private,2145,2831,24525.0,17726.0,45330,90600.0,87.0,1045.0,1290.0,22.0,29.0,www.taylor.edu,40.4755974,-85.4944168,Indiana
226,Drexel University,Philadelphia ,PA,Private,17789,24190,37427.0,28767.0,68792,114800.0,79.0,1160.0,1360.0,24.0,30.0,www.drexel.edu,39.9527237,-75.16352619999999,Pennsylvania
227,Stonehill College,Easton,MA,Private,2498,2536,32911.0,22865.0,59560,103200.0,72.0,,,,,www.stonehill.edu,42.0245442,-71.1286594,Massachusetts
228,University of South Florida,Tampa,FL,Public,37076,43540,11700.0,7937.0,32324,91300.0,45.0,1150.0,1310.0,24.0,29.0,www.usf.edu,27.947759499999997,-82.458444,Florida
229,St. Mary's College of Maryland,St. Mary's City,MD,Public,1598,1746,21025.0,8414.0,45130,95400.0,82.0,1070.0,1290.0,22.0,28.0,www.smcm.edu,38.186492,-76.43012,Maryland
230,Bard College,Annandale-on-Hudson,NY,Private,2101,2293,26766.0,39096.0,70562,90600.0,58.0,,,,,www.bard.edu,42.0128695,-73.9081901,New York
231,Washington State University,Pullman,WA,Public,27917,30614,16314.0,8572.0,41675,103700.0,73.0,1020.0,1220.0,20.0,26.0,www.wsu.edu,46.7304268,-117.173895,Washington
232,Truman State University,Kirksville,MO,Public,6272,6289,12537.0,8778.0,27878,85800.0,67.0,1185.0,1420.0,24.0,30.0,www.truman.edu,40.1948848,-92.5833939,Missouri
233,Illinois Wesleyan University,Bloomington,IL,Private,1649,1791,26976.0,26421.0,58830,96000.0,61.0,1195.0,1395.0,24.0,29.0,www.iwu.edu,40.473107299999995,-88.9941403,Illinois
234,"St. John's College, Annapolis",Annapolis,MD,Private,445,513,26808.0,33723.0,65409,,54.0,1280.0,1450.0,26.0,32.0,www.stjohnscollege.edu,38.9786401,-76.492786,Maryland
235,"SUNY, Geneseo",Geneseo,NY,Public,5652,5792,18879.0,6708.0,34740,93300.0,72.0,1120.0,1300.0,24.0,29.0,www.geneseo.edu,42.8045378,-77.7714572,New York
236,Westmont College,Santa Barbara,CA,Private,1300,1356,31039.0,26711.0,60930,102400.0,85.0,1130.0,1380.0,23.0,30.0,www.westmont.edu,34.4221319,-119.7026673,California
237,Cedarville University,Cedarville,OH,Private,3666,3886,21490.0,14155.0,39194,87300.0,71.0,1130.0,1350.0,23.0,29.0,www.cedarville.edu,39.7442268,-83.8085372,Ohio
238,University of the Pacific (CA),Stockton,CA,Private,3639,6255,29171.0,26884.0,64796,109300.0,65.0,1070.0,1330.0,22.0,30.0,www.pacific.edu,37.9577016,-121.29077959999998,California
239,"University of Nebraska, Lincoln",Lincoln,NE,Public,22012,26079,17784.0,8538.0,40182,96700.0,64.0,1100.0,1380.0,22.0,29.0,www.unl.edu,40.8088861,-96.70777509999999,Nebraska
240,"University of Texas, Dallas",Richardson,TX,Public,18764,27642,14763.0,14321.0,45488,100900.0,76.0,1220.0,1430.0,26.0,32.0,www.utdallas.edu,32.9481789,-96.7297206,Texas
